,AQO(KNN),Actual
10a.sql,2,3
10a.sql,1,1
10a.sql,43,35
10a.sql,43,35
10a.sql,47,37
10a.sql,115,92
10a.sql,157,126
10a.sql,13453,10763
10b.sql,2,3
10b.sql,1,1
10b.sql,3,0
10b.sql,3,0
10b.sql,572,0
10b.sql,1087137,0
10c.sql,2,3
10c.sql,1,1
10c.sql,4,3
10c.sql,6,5
10c.sql,25,10
10c.sql,7698,10
10c.sql,16257,914418
10c.sql,598100,478480
10c.sql,598100,478480
11a.sql,2,3
11a.sql,1,1
11a.sql,129,103
11a.sql,277,221
11a.sql,294,235
11a.sql,529995,423996
11b.sql,14,14
11b.sql,1,21
11b.sql,1,7
11b.sql,9,7
11b.sql,529995,423996
11c.sql,2,3
11c.sql,1,1
11c.sql,2894,2315
11c.sql,2894,2315
11c.sql,42,2315
11c.sql,95,5170
11c.sql,557142,445713
11d.sql,2,3
11d.sql,1,1
11d.sql,6208,4966
11d.sql,6455,5164
11d.sql,1,5164
11d.sql,248,5170
11d.sql,557142,445713
12a.sql,2,3
12a.sql,1,1
12a.sql,165,132
12a.sql,295,236
12a.sql,2,1220
12a.sql,647,3620
12a.sql,16462,5990
12a.sql,114435,91548
12b.sql,2,3
12b.sql,1,1
12b.sql,4,3
12b.sql,4,3
12b.sql,14,11
12b.sql,1087137,869710
12c.sql,2,3
12c.sql,1,1
12c.sql,1963,1570
12c.sql,1963,1570
12c.sql,136380,109104
13a.sql,2,3
13a.sql,1,1
13a.sql,46292,37034
13a.sql,1265300,1012240
13a.sql,6181550,4945240
13b.sql,2,3
13b.sql,1,1
13b.sql,155,124
13b.sql,1,372
13b.sql,575015,460012
13c.sql,2,3
13c.sql,1,1
13c.sql,79,18
13c.sql,91,73
13c.sql,6,218
13c.sql,575015,460012
13d.sql,2,3
13d.sql,1,1
13d.sql,279329,223463
13d.sql,122,676557
13d.sql,575015,460012
14a.sql,2,3
14a.sql,1,1
14a.sql,317,254
14a.sql,940,752
14a.sql,557348,445878
14b.sql,2,3
14b.sql,1,1
14b.sql,1,0
14b.sql,1,1
14b.sql,1,1
14b.sql,294448,235558
14c.sql,2,3
14c.sql,1,1
14c.sql,1715,1372
14c.sql,5141,4113
14c.sql,557348,445878
15a.sql,2,3
15a.sql,1,1
15a.sql,137,109
15a.sql,7,109
15a.sql,7,109
15a.sql,1884971,1507977
15b.sql,2,3
15b.sql,1,1
15b.sql,15,12
15b.sql,150613,120491
15c.sql,2,3
15c.sql,1,1
15c.sql,946,757
15c.sql,13,757
15c.sql,13,757
15c.sql,1884971,1507977
15d.sql,2,3
15d.sql,1,1
15d.sql,4728,3782
15d.sql,13,3852
15d.sql,13,3852
15d.sql,1884971,1507977
16a.sql,2,3
16a.sql,1,1
16a.sql,160,128
16a.sql,375560,300448
16b.sql,2,3
16b.sql,1,1
16b.sql,1546080,1236864
